representation,representation_family,branch,n_runs,n_folds,n_neural_seeds,scanner_balanced_accuracy_mean,scanner_balanced_accuracy_std,scanner_balanced_accuracy_min,scanner_balanced_accuracy_max,scanner_macro_f1_mean,scanner_macro_f1_std,scanner_macro_f1_min,scanner_macro_f1_max,category_balanced_accuracy_mean,category_balanced_accuracy_std,category_balanced_accuracy_min,category_balanced_accuracy_max,category_macro_f1_mean,category_macro_f1_std,category_macro_f1_min,category_macro_f1_max,category_weighted_f1_mean,category_weighted_f1_std,category_weighted_f1_min,category_weighted_f1_max,scanner_category_ratio_mean,scanner_category_ratio_std,scanner_category_ratio_min,scanner_category_ratio_max,category_scanner_ratio_mean,category_scanner_ratio_std,category_scanner_ratio_min,category_scanner_ratio_max,neighborhood_purity_k1_mean,neighborhood_purity_k1_std,neighborhood_purity_k1_min,neighborhood_purity_k1_max,neighborhood_purity_k5_mean,neighborhood_purity_k5_std,neighborhood_purity_k5_min,neighborhood_purity_k5_max,neighborhood_purity_k10_mean,neighborhood_purity_k10_std,neighborhood_purity_k10_min,neighborhood_purity_k10_max
original_frozen_features,frozen,original,5,5,0,0.8640954715110795,0.02113215572254406,0.8402116402116402,0.887719298245614,0.8643042561587633,0.021086346869195496,0.8401974473264572,0.8876757971747711,0.4015887180506971,0.05569349251159387,0.3462390350877193,0.489032634032634,0.35836469729608905,0.04535349708264835,0.2940042111413078,0.4094137240951029,0.42700862400315,0.06980538343625171,0.3099295141213824,0.4840048886409914,2.1821621007165404,0.27942786473133735,1.7543431149126694,2.454951388668968,0.46488868470065725,0.06503393670340028,0.4073400412796698,0.5700139223049191,0.9600102230229272,0.02257367579252342,0.9388888888888888,0.985897435897436,0.8712947605530182,0.020278115734346364,0.8525,0.8982051282051282,0.730678684960264,0.0284252638697319,0.69875,0.7655128205128205
linear_keep_k1,linear_decomposition,keep,5,5,0,0.8083359382098039,0.023417063821835202,0.780952380952381,0.8282051282051281,0.8075730259412517,0.024893457550165483,0.7776147937658555,0.8289843219992792,0.4035440867016559,0.05126222188313395,0.3546271929824561,0.4845881895881896,0.36155267212739317,0.041406778051545697,0.3038774710825042,0.4064134580115409,0.4308200761329536,0.06670906896935125,0.3189823411542319,0.4883139746923647,2.0242876478883316,0.21462742432219262,1.6964279839668566,2.2205825811565183,0.4987910522345348,0.05667357800520738,0.4503322724792259,0.5894738883413381,0.9605219189293599,0.022090887867327297,0.9402777777777778,0.985897435897436,0.871438661493108,0.02027320549432883,0.8522222222222222,0.8982051282051282,0.7307023812847768,0.028692513729867104,0.6986111111111111,0.7657692307692308
linear_keep_k16,linear_decomposition,keep,5,5,0,0.7070699996380577,0.042341490908869274,0.6583333333333333,0.7672514619883041,0.7065063069470013,0.04261803834285546,0.6574151068658958,0.7672254382845288,0.400504238143243,0.05399936944858972,0.347119331347236,0.4858676508676509,0.3578781857452673,0.04563983980099034,0.2956110962146038,0.4093958925097477,0.4253625560542259,0.07049040715977044,0.3098432880412507,0.4874539458039612,1.7912708654017684,0.2596667851017756,1.3910415063826105,2.0899979336375734,0.5687879246338328,0.09148298361804783,0.4784693725794898,0.7188858099572385,0.9619481340397856,0.022669452154079076,0.9402777777777778,0.9884615384615384,0.8727609323190085,0.019808507494967632,0.8536111111111111,0.8984615384615384,0.7317993576632416,0.028601838976294043,0.7,0.7662820512820513
linear_keep_k2,linear_decomposition,keep,5,5,0,0.7639045307048937,0.021867537919892332,0.736111111111111,0.7953216374269005,0.763060329110106,0.02128983282390484,0.7358623062943721,0.7928395329604621,0.4035679845517438,0.051448301328323336,0.3559688430983118,0.4853457653457654,0.3608276518548323,0.043231157357127646,0.3060507392878196,0.407806285980057,0.42891316144079433,0.06691783031826068,0.3214701741788563,0.4934584147525272,1.9153458605104934,0.22803241540637517,1.5744196933295649,2.168623579636642,0.5284778445295899,0.06731608651897172,0.4611219804995168,0.6351546568153067,0.9609451993526404,0.022644254764552126,0.9402777777777778,0.985897435897436,0.8713653989822774,0.020163397468665533,0.8525,0.8974358974358975,0.7310892804513495,0.028787302349081806,0.6991666666666667,0.7661538461538462
linear_keep_k32,linear_decomposition,keep,5,5,0,0.7070699996380577,0.042341490908869274,0.6583333333333333,0.7672514619883041,0.7065063069470013,0.04261803834285546,0.6574151068658958,0.7672254382845288,0.400504238143243,0.05399936944858972,0.347119331347236,0.4858676508676509,0.3578781857452673,0.04563983980099034,0.2956110962146038,0.4093958925097477,0.4253625560542259,0.07049040715977044,0.3098432880412507,0.4874539458039612,1.7912708654017684,0.2596667851017756,1.3910415063826105,2.0899979336375734,0.5687879246338328,0.09148298361804783,0.4784693725794898,0.7188858099572385,0.9619481340397856,0.022669452154079076,0.9402777777777778,0.9884615384615384,0.8727609323190085,0.019808507494967632,0.8536111111111111,0.8984615384615384,0.7317993576632416,0.028601838976294043,0.7,0.7662820512820513
linear_keep_k4,linear_decomposition,keep,5,5,0,0.7070699996380577,0.042341490908869274,0.6583333333333333,0.7672514619883041,0.7065063069470013,0.04261803834285546,0.6574151068658958,0.7672254382845288,0.400504238143243,0.05399936944858972,0.347119331347236,0.4858676508676509,0.3578781857452673,0.04563983980099034,0.2956110962146038,0.4093958925097477,0.4253625560542259,0.07049040715977044,0.3098432880412507,0.4874539458039612,1.7912708654017684,0.2596667851017756,1.3910415063826105,2.0899979336375734,0.5687879246338328,0.09148298361804783,0.4784693725794898,0.7188858099572385,0.9619481340397856,0.022669452154079076,0.9402777777777778,0.9884615384615384,0.8727609323190085,0.019808507494967632,0.8536111111111111,0.8984615384615384,0.7317993576632416,0.028601838976294043,0.7,0.7662820512820513
linear_keep_k8,linear_decomposition,keep,5,5,0,0.7070699996380577,0.042341490908869274,0.6583333333333333,0.7672514619883041,0.7065063069470013,0.04261803834285546,0.6574151068658958,0.7672254382845288,0.400504238143243,0.05399936944858972,0.347119331347236,0.4858676508676509,0.3578781857452673,0.04563983980099034,0.2956110962146038,0.4093958925097477,0.4253625560542259,0.07049040715977044,0.3098432880412507,0.4874539458039612,1.7912708654017684,0.2596667851017756,1.3910415063826105,2.0899979336375734,0.5687879246338328,0.09148298361804783,0.4784693725794898,0.7188858099572385,0.9619481340397856,0.022669452154079076,0.9402777777777778,0.9884615384615384,0.8727609323190085,0.019808507494967632,0.8536111111111111,0.8984615384615384,0.7317993576632416,0.028601838976294043,0.7,0.7662820512820513
linear_removed_k1,linear_decomposition,removed,5,5,0,0.4076447750676426,0.02023933242080699,0.3717948717948718,0.4206896551724138,0.3969523933449185,0.01771092987991812,0.3662071456394754,0.4084414846753354,0.10779522967226574,0.03100895254324673,0.0688021580418551,0.1481291847504941,0.060598026397173224,0.015978634809411276,0.0431861238308239,0.0769626130961837,0.07454464535536703,0.028265156282161915,0.0483324681379282,0.107981211247091,4.079468615436716,1.3527431199036488,2.810886117460111,6.0560115921537125,0.2655592059034487,0.07833296045961537,0.1651251793004524,0.3557596993305407,0.252332918946349,0.030144435329781397,0.2166666666666666,0.291025641025641,0.24021953232624735,0.028914081940736854,0.1933333333333333,0.272551724137931,0.2337415879072866,0.032941760641891735,0.1813888888888888,0.2649655172413793
linear_removed_k16,linear_decomposition,removed,5,5,0,0.8573860088624154,0.022010618555941528,0.837037037037037,0.8818713450292398,0.8572091830003726,0.022314064139341762,0.8365442326872469,0.8819126296279093,0.1366172746322732,0.02419371216285267,0.1036403508771929,0.1678803978587583,0.0967036269032822,0.027489537414380802,0.0721955028827547,0.1383535083905544,0.10528181882958214,0.04778460571878655,0.0664569126418869,0.1829479337169188,6.434344572231642,1.1415298996994327,5.252973880674135,8.08082945408379,0.1591652666613806,0.026591898484449563,0.1237496726891856,0.1903683556621199,0.2684238720881189,0.03843036941909404,0.2402116402116402,0.3358974358974358,0.27213815713761264,0.04505608208877589,0.2377931034482758,0.351025641025641,0.26964883897778635,0.04575755376740694,0.24,0.3503846153846154
linear_removed_k2,linear_decomposition,removed,5,5,0,0.5904097947491777,0.038618657068043585,0.5525641025641025,0.6479532163742691,0.5895317306010429,0.04117491253268763,0.5487173680412114,0.6498630370853613,0.11550555969085238,0.015373104857471644,0.0968719649199101,0.1383038315882621,0.081369591458244,0.02356221081533568,0.061340773161205,0.1219156337356224,0.1049950632473097,0.05824721539632514,0.0665165956400627,0.2053664665795453,5.151145390661832,0.4042478233783186,4.684998303613599,5.704066217929412,0.19507489731379304,0.015049094292364052,0.1753135328016935,0.2134472491118486,0.29211697494546857,0.031384157192233246,0.2648275862068965,0.3423076923076923,0.25537958475617273,0.02624300683140269,0.233103448275862,0.2994871794871795,0.2513160017639146,0.030410295544422594,0.2222068965517241,0.3012820512820512
linear_removed_k32,linear_decomposition,removed,5,5,0,0.8573860088624154,0.022010618555941528,0.837037037037037,0.8818713450292398,0.8572091830003726,0.022314064139341762,0.8365442326872469,0.8819126296279093,0.1366172746322732,0.02419371216285267,0.1036403508771929,0.1678803978587583,0.0967036269032822,0.027489537414380802,0.0721955028827547,0.1383535083905544,0.10528181882958214,0.04778460571878655,0.0664569126418869,0.1829479337169188,6.434344572231642,1.1415298996994327,5.252973880674135,8.08082945408379,0.1591652666613806,0.026591898484449563,0.1237496726891856,0.1903683556621199,0.2684238720881189,0.03843036941909404,0.2402116402116402,0.3358974358974358,0.27213815713761264,0.04505608208877589,0.2377931034482758,0.351025641025641,0.26964883897778635,0.04575755376740694,0.24,0.3503846153846154
linear_removed_k4,linear_decomposition,removed,5,5,0,0.8573860088624154,0.022010618555941528,0.837037037037037,0.8818713450292398,0.8572091830003726,0.022314064139341762,0.8365442326872469,0.8819126296279093,0.1366172746322732,0.02419371216285267,0.1036403508771929,0.1678803978587583,0.0967036269032822,0.027489537414380802,0.0721955028827547,0.1383535083905544,0.10528181882958214,0.04778460571878655,0.0664569126418869,0.1829479337169188,6.434344572231642,1.1415298996994327,5.252973880674135,8.08082945408379,0.1591652666613806,0.026591898484449563,0.1237496726891856,0.1903683556621199,0.2684238720881189,0.03843036941909404,0.2402116402116402,0.3358974358974358,0.27213815713761264,0.04505608208877589,0.2377931034482758,0.351025641025641,0.26964883897778635,0.04575755376740694,0.24,0.3503846153846154
linear_removed_k8,linear_decomposition,removed,5,5,0,0.8573860088624154,0.022010618555941528,0.837037037037037,0.8818713450292398,0.8572091830003726,0.022314064139341762,0.8365442326872469,0.8819126296279093,0.1366172746322732,0.02419371216285267,0.1036403508771929,0.1678803978587583,0.0967036269032822,0.027489537414380802,0.0721955028827547,0.1383535083905544,0.10528181882958214,0.04778460571878655,0.0664569126418869,0.1829479337169188,6.434344572231642,1.1415298996994327,5.252973880674135,8.08082945408379,0.1591652666613806,0.026591898484449563,0.1237496726891856,0.1903683556621199,0.2684238720881189,0.03843036941909404,0.2402116402116402,0.3358974358974358,0.27213815713761264,0.04505608208877589,0.2377931034482758,0.351025641025641,0.26964883897778635,0.04575755376740694,0.24,0.3503846153846154
shuffled_sample_acquisition,neural_factorization,acquisition,25,5,5,0.8302343531980556,0.02501614809741156,0.7805555555555557,0.8725146198830409,0.8295195730551248,0.02577644022169583,0.7784871162846141,0.8721148330221917,0.3871456211262603,0.05662511064312518,0.293166170142337,0.5204195804195805,0.3149863263915343,0.05767679133757231,0.2055945230841584,0.4069175325029034,0.37274379825548126,0.07583084649025575,0.2268205976422215,0.4639750241962474,2.184594738993467,0.29128129432183586,1.574326515860586,2.7430404615792834,0.4659092397383716,0.06466877327391499,0.364558968052647,0.6351922488286126,0.7309229975173714,0.0301031188173498,0.6763888888888889,0.7858974358974359,0.6085538152484069,0.03407813904944141,0.567953216374269,0.668974358974359,0.5338240229072534,0.0410392351929279,0.4923976608187134,0.6106410256410256
true_pair_acquisition,neural_factorization,acquisition,25,5,5,0.865097576168538,0.022958132044400347,0.825,0.8994152046783626,0.8649639192873902,0.023164817242175905,0.8238203044055716,0.8989818876488329,0.34560280422731,0.057371123635899794,0.2572136729745385,0.4549559699559699,0.27355376821390603,0.05047197278950685,0.1955776801401905,0.3995132698315453,0.32457140636602355,0.06859477142389239,0.1777440979052993,0.4000420041431058,2.5650015279231737,0.398411037450471,1.8948404295050163,3.483121337943893,0.39934075263039637,0.06452417706409791,0.2870988125237996,0.5277489251489251,0.5737002289100293,0.03215296026871869,0.5241379310344828,0.6474358974358975,0.4711641495131876,0.04554796170764672,0.4177777777777778,0.5628205128205128,0.4182759862521024,0.05252087016052172,0.3588304093567251,0.5207692307692308
shuffled_sample_biological,neural_factorization,biological,25,5,5,0.40930224647974195,0.03096038118070337,0.3705128205128205,0.4865497076023392,0.4076806434569504,0.030737063485896454,0.3661399577960793,0.4838715332529665,0.32276462218443575,0.04938576874875564,0.2608276554856744,0.421033411033411,0.2752202220826292,0.05380674267319379,0.1807867751977915,0.3932919725300758,0.33856135604863374,0.0640425869438324,0.2064104436188999,0.4668420050698411,1.2984005522898614,0.23094229209523962,0.9029355601768474,1.7220204844744444,0.7949341476217673,0.1475204168063537,0.580713184898725,1.1074987453192582,0.9271592212922521,0.018990032048866828,0.9027777777777778,0.9555555555555556,0.780013139701597,0.020081245540507404,0.7415204678362574,0.8179487179487179,0.6354584274863404,0.02672229944488849,0.5741520467836257,0.688076923076923
true_pair_biological,neural_factorization,biological,25,5,5,0.36140764156190647,0.017512850267555023,0.3294871794871795,0.4140350877192982,0.35700945208328555,0.017298878517199287,0.329316050666569,0.4066955498399826,0.3860166696219383,0.056616991838298256,0.2899317242878886,0.4795843045843046,0.3388595562543015,0.060069268315420955,0.2162555254696649,0.4515693896053244,0.4173568720337779,0.07092944104128769,0.2683296029236559,0.5105427410124249,0.9566481230042067,0.152535718898544,0.7280564686802075,1.24094167574124,1.0711717937923253,0.17093934652565843,0.80583964544722,1.373519833994142,0.9729795399196489,0.016848595045197763,0.9541666666666668,0.9961538461538462,0.8972612482724642,0.015982673411840516,0.8713888888888889,0.9256410256410256,0.7508461270550382,0.023433156212123683,0.7094444444444444,0.7973076923076923
