path,source_commit,source_branch,claims,source_git_blob_sha,consolidated_git_blob_sha,sha256,byte_count
"experiments/paired_acquisition/build_unified_separation_scoreboard.py","1c5276978d2d5e83619c88684c9e02df3688d6e3","experiment/unified-separation-scoreboard","2;3;4","2fdf5379b904d2ee83dca11387675de1f9961f08","2fdf5379b904d2ee83dca11387675de1f9961f08","86629df45ef99627b5e7c11329c62023370c2f4789827e403f22bd0539f049dc","29208"
"experiments/paired_acquisition/run_acquisition_bottleneck_separation_frontier.py","a89bfb32977dc723ef895f150ab4ae720a345ac5","experiment/acquisition-bottleneck-separation-frontier","4","13cf1dd2428d03b45fac2073b5c4c94215941e64","13cf1dd2428d03b45fac2073b5c4c94215941e64","3f92249a9e2f4102d38511ead495dc20d08d49a78e75cd5e83a0c14b4d253d5d","46851"
"experiments/paired_acquisition/run_acquisition_branch_audit.py","3e5bf19e420abfcb9a95c517407cba636b9f126d","experiment/acquisition-branch-audit","2","0d5b1a9d6532166606a564ad7652a7ca3904a8d0","0d5b1a9d6532166606a564ad7652a7ca3904a8d0","e6e23e494237e41e06434fb966660dd861631a1522f844e82d8ab4af0f0da9a9","29272"
"experiments/paired_acquisition/run_acquisition_factor_swapping_audit.py","aa8d0596dfe5f4be650d034ed80fca76fc337116","experiment/acquisition-factor-swapping-audit","5","e5b65a322ff06771e49adaea83ca2dc392ed7766","e5b65a322ff06771e49adaea83ca2dc392ed7766","1345bddb4bd25e479b76b8da0959b5d0dee0d36a224db3c14018715915236f44","66964"
"experiments/paired_acquisition/run_biological_label_preservation_audit.py","bec06eb47e14ca3317efae7b74c3399615aa0d13","experiment/biological-label-preservation-audit","1;2","747d461b3766cc74873d27157d32bfd87db599e7","747d461b3766cc74873d27157d32bfd87db599e7","1899045247f302f5134e19ab82b9658acc78f5138a54a7be3752b38298ab639f","35929"
"experiments/paired_acquisition/run_frontier_selected_crossbackbone_validation.py","0e2af24730a0a298fbf0363dfbab7682dc65a1af","experiment/frontier-selected-crossbackbone-validation","4","9ecff5167e41bf2403e9d5cb839c6b7322c2c3f2","9ecff5167e41bf2403e9d5cb839c6b7322c2c3f2","5fc28f5fb8d7484f7ea520d52bba7452f30ac1c8b206696ceaa9672ab985a8ad","34207"
"experiments/paired_acquisition/run_frontier_selected_downstream_validation.py","c29a038debf9df709d6ce10ad4c63e510556b083","experiment/frontier-selected-downstream-validation","4","30444f0e97bb552cd3fd0b26e3de5c3490dd518f","30444f0e97bb552cd3fd0b26e3de5c3490dd518f","bd02e93d0ab76cbd16f539905c202c232bf5ebc8f7dd2d8ef6f340f09a6ccb50","41207"
"experiments/paired_acquisition/run_linear_baseline_consistency_audit.py","a325c009254bd2c220297e482203dd9a252728a6","experiment/linear-baseline-consistency-audit","3","35fb51bdc061353fdffe30e7113da2dfe1b17e0f","35fb51bdc061353fdffe30e7113da2dfe1b17e0f","feeda27602be9516f46307f31e2d507e46217fe08433073dafa5301b8a3c92b9","26363"
"experiments/paired_acquisition/run_linear_residual_branch_separation_audit.py","ec2a509f19e5c4a1fb59c3e49486a022db03191c","experiment/linear-baseline-consistency-audit","2;3","d64941712ba822ed3d6da18b3bec5d307f3a04d6","d64941712ba822ed3d6da18b3bec5d307f3a04d6","9cad7f0efa725db3ea8c9a09b4b0bfc3f248e388e54eb64b20576d07768d8d4b","46865"
"experiments/paired_acquisition/run_oldstyle_residual_branch_separation_audit.py","3450ede25d374495ea73fe2d41b1e365e8b5b5a7","experiment/oldstyle-residual-branch-separation-audit","2;3","698c7732d2fa0133c929d5ae05bf0428d38ac0c1","698c7732d2fa0133c929d5ae05bf0428d38ac0c1","0480b7e9356cffb8e50041730143a6261cecf2a6ab5a938cfb8a2aa64493f1f2","45088"
