contrast_type,contrast_id,acquisition_dim,cross_covariance_weight,n_folds,n_slides,biological_scanner_probe_accuracy_mean,biological_scanner_probe_accuracy_ci_025,biological_scanner_probe_accuracy_ci_975,biological_scanner_probe_accuracy_fold_min,biological_scanner_probe_accuracy_fold_max,biological_scanner_probe_accuracy_interval_classification,acquisition_scanner_probe_accuracy_mean,acquisition_scanner_probe_accuracy_ci_025,acquisition_scanner_probe_accuracy_ci_975,acquisition_scanner_probe_accuracy_fold_min,acquisition_scanner_probe_accuracy_fold_max,acquisition_scanner_probe_accuracy_interval_classification,biological_category_probe_accuracy_mean,biological_category_probe_accuracy_ci_025,biological_category_probe_accuracy_ci_975,biological_category_probe_accuracy_fold_min,biological_category_probe_accuracy_fold_max,biological_category_probe_accuracy_interval_classification,acquisition_category_probe_accuracy_mean,acquisition_category_probe_accuracy_ci_025,acquisition_category_probe_accuracy_ci_975,acquisition_category_probe_accuracy_fold_min,acquisition_category_probe_accuracy_fold_max,acquisition_category_probe_accuracy_interval_classification,biological_pair_cosine_average_mean,biological_pair_cosine_average_ci_025,biological_pair_cosine_average_ci_975,biological_pair_cosine_average_fold_min,biological_pair_cosine_average_fold_max,biological_pair_cosine_average_interval_classification,biological_pair_cosine_worst_mean,biological_pair_cosine_worst_ci_025,biological_pair_cosine_worst_ci_975,biological_pair_cosine_worst_fold_min,biological_pair_cosine_worst_fold_max,biological_pair_cosine_worst_interval_classification,biological_retrieval_top1_average_mean,biological_retrieval_top1_average_ci_025,biological_retrieval_top1_average_ci_975,biological_retrieval_top1_average_fold_min,biological_retrieval_top1_average_fold_max,biological_retrieval_top1_average_interval_classification,biological_retrieval_top1_worst_mean,biological_retrieval_top1_worst_ci_025,biological_retrieval_top1_worst_ci_975,biological_retrieval_top1_worst_fold_min,biological_retrieval_top1_worst_fold_max,biological_retrieval_top1_worst_interval_classification,branch_cross_covariance_rms_mean,branch_cross_covariance_rms_ci_025,branch_cross_covariance_rms_ci_975,branch_cross_covariance_rms_fold_min,branch_cross_covariance_rms_fold_max,branch_cross_covariance_rms_interval_classification
dimension_marginal,dim16_minus_dim64,16,,5,44,0.00039805917202312917,-0.01295208322539789,0.016172163218714803,-0.016033436563197428,0.02411692206429047,interval_includes_zero,-0.005370494422910685,-0.011633361969101943,0.0003475267425337608,-0.009598322841681509,0.0019412988887301931,interval_includes_zero,-0.001873317648047525,-0.015787503653721755,0.012385339034800243,-0.009972742656953162,0.010305287037171072,interval_includes_zero,-0.14326733053670038,-0.199700061975458,-0.09734850778251546,-0.22222430006640537,-0.07706611748642109,interval_below_zero_favorable,0.0029458559744924766,0.0018951576092639318,0.003968361715206014,0.002142466146508218,0.004428994390438744,descriptive_only_no_preservation_claim,0.0037072904582419134,0.0022419630646913083,0.005158926382510165,0.002224778350328576,0.004850049933226019,descriptive_only_no_preservation_claim,0.0012228028548098467,-0.000882159196021155,0.003126118068287716,-0.002017956913948349,0.0032271348261686417,interval_includes_zero_no_retrieval_improvement_claim,0.00610528718522024,0.0009473545358745149,0.011774629856471645,0.0025985537584209406,0.01056430642179429,interval_above_zero_favorable,-0.019664028580441625,-0.02166291921825488,-0.01758420179807401,-0.02138034337096743,-0.018848848398085,interval_below_zero_favorable
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,5,44,0.0049151729635305815,-0.007014173978349829,0.016660791799246077,-0.009122300533116467,0.019829126053763708,interval_includes_zero,5.014254704956776e-06,-0.005398960935694714,0.0052033580843053266,-0.006875125670824637,0.005249004346483603,interval_includes_zero,-0.004266842013344862,-0.017164528669195864,0.005974720644263544,-0.02541303725514252,0.003221428876990312,interval_includes_zero,-0.079216923412585,-0.10729726102061822,-0.05465215658057103,-0.10856592530276743,-0.045908135297129636,interval_below_zero_favorable,0.0014528277114420089,0.0008561077312864561,0.0020117300761123775,0.000546500730618224,0.0020108213414864093,descriptive_only_no_preservation_claim,0.0016937691459739592,0.0009118887641243776,0.002493537231465507,0.0008483700224126839,0.0025552748821366317,descriptive_only_no_preservation_claim,-0.0005608118016375538,-0.0017579535474959772,0.00026520162552135456,-0.0020565883966201883,0.0001289306044998939,interval_includes_zero_no_retrieval_improvement_claim,-0.003072306984202035,-0.008744377427293714,0.0014390651122044911,-0.00903651903651908,0.0012120649077170685,interval_includes_zero_no_retrieval_improvement_claim,-0.009342419389973988,-0.01097677396740332,-0.007652318650978685,-0.011302596992916546,-0.007884805090725422,interval_below_zero_favorable
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p2_vs_xcov0,16,0.2,5,44,0.00273987626694745,-0.008956385020087821,0.01458213236443848,-0.012642104153489368,0.014359543569688481,interval_includes_zero,0.002229042310021856,-0.002166761589891932,0.007080718187177251,0.00018573239625875438,0.005579541349680615,interval_includes_zero,-0.003885835974574295,-0.01831342958307199,0.009135122052068107,-0.02724332976964554,0.011325489729861324,interval_includes_zero,-0.060391688225268886,-0.09147519392623699,-0.029084361123726667,-0.08519674477569215,-0.020392822496765158,interval_below_zero_favorable,-0.00016821994998133578,-0.0008348545776652814,0.0004779040219758729,-0.0007606702664243582,0.00035259173144291326,descriptive_only_no_preservation_claim,-0.0002758603397780822,-0.001397062049362959,0.0008283393069429622,-0.0015397140299593876,0.0010326165827111617,descriptive_only_no_preservation_claim,-0.0013097218481231334,-0.0030163875774658396,-7.47185396223793e-05,-0.002954508607778473,-0.00031772951115928427,interval_below_zero_unfavorable,-0.004206699208842613,-0.013398019336960545,0.0032415298055072568,-0.013784096020938132,0.004691199165836861,interval_includes_zero_no_retrieval_improvement_claim,-0.00817231847481294,-0.009967105613231208,-0.006329217124730342,-0.009168192081981243,-0.007348406811555217,interval_below_zero_favorable
dimension_marginal,dim2_minus_dim64,2,,5,44,-0.0012849078985098844,-0.011344582103683958,0.008865105533083893,-0.01208934469845288,0.011299503615293076,interval_includes_zero,-0.09593197818510181,-0.12170442260468163,-0.07177707727075616,-0.12652052060336924,-0.0680055365997395,interval_below_zero_unfavorable,-0.003021309890642417,-0.016432906102385562,0.01190575253401153,-0.010784745439394434,0.008390371166954217,interval_includes_zero,-0.2553584557555906,-0.3182623216794016,-0.19884822983647032,-0.3436350296876613,-0.18946151471341224,interval_below_zero_favorable,0.006233852549172762,0.005214493259836015,0.007198229278671075,0.005128535627713883,0.006855546091566911,descriptive_only_no_preservation_claim,0.0075366625800235175,0.005738390027120508,0.009343794558559396,0.0055069697135165085,0.009241922856039197,descriptive_only_no_preservation_claim,-0.0003728164699530644,-0.0023513779760722794,0.0017702226701328872,-0.002283089124501653,0.002655923987445704,interval_includes_zero_no_retrieval_improvement_claim,0.0032404616210171544,-0.0027908695516521203,0.009971782804990384,-0.002694216819067452,0.009983334119807527,interval_includes_zero_no_retrieval_improvement_claim,-0.04784127847489083,-0.05586939206008206,-0.04024794987318191,-0.057806741639419824,-0.03826881260783583,interval_below_zero_favorable
dimension_by_weight_interaction,dim2_vs_dim64_by_xcov0p05_vs_xcov0,2,0.05,5,44,-0.0076378219638985395,-0.019829023122610926,0.003697786262819014,-0.021536565163699888,0.006988827061290824,interval_includes_zero,0.005390902227073943,-0.006995970974483536,0.01768971127332164,-0.008883452305653475,0.023113640862274756,interval_includes_zero,-0.0011979391404266055,-0.009691154341473144,0.006121991520719655,-0.011541014541014534,0.0033046019599871097,interval_includes_zero,0.029976007394435854,0.011177896295639018,0.04654952427433635,0.00471210957501279,0.04814883946462894,interval_above_zero_unfavorable,0.0010902787305457704,0.0005994697212333603,0.00162773134661583,0.0007078118840570832,0.0017048653022451793,descriptive_only_no_preservation_claim,0.0010167014880343944,0.0003495336991476508,0.0017423009155333464,0.00046151726531996743,0.0018462469003036855,descriptive_only_no_preservation_claim,-0.0007738411089596189,-0.0020388235986006017,0.00045259755869662667,-0.0013286731483453077,0.0004432891669733621,interval_includes_zero_no_retrieval_improvement_claim,-0.004234396455031711,-0.010279796832721668,0.00032511354803004433,-0.0080576089989099,-0.0013916947250280796,interval_includes_zero_no_retrieval_improvement_claim,0.00908446091819893,0.0071233196548101535,0.011168399505655862,0.006897498667240134,0.010653474595811622,interval_above_zero_unfavorable
dimension_by_weight_interaction,dim2_vs_dim64_by_xcov0p2_vs_xcov0,2,0.2,5,44,-0.010510300572308591,-0.02792950882611328,0.006721461738423377,-0.03622005479900219,0.009545874951672053,interval_includes_zero,0.002792267994846874,-0.018457404652682582,0.02462672216456442,-0.022750243908138637,0.03713821163918116,interval_includes_zero,-0.002784203311100826,-0.011674993430257968,0.005885257986120716,-0.01270761402340348,0.006263288284793679,interval_includes_zero,0.08892601384792721,0.049097013079780136,0.12840951682046953,0.02973564049275623,0.12773601836759732,interval_above_zero_unfavorable,0.0015771180146390965,0.0009496930967601337,0.0021846466014011734,0.001146283385745998,0.0021556213430992616,descriptive_only_no_preservation_claim,0.0015661347697129102,0.0006803201508078183,0.0023775243315304144,0.0009506192077589903,0.002227103547495347,descriptive_only_no_preservation_claim,-0.0006588703810723966,-0.0022487877274456262,0.0011955069929750278,-0.0022477724054785395,0.0014493415940783165,interval_includes_zero_no_retrieval_improvement_claim,-0.003916513145057007,-0.012259578633100262,0.00306691301720154,-0.00918220668220667,0.00404499821166488,interval_includes_zero_no_retrieval_improvement_claim,0.01654101406986063,0.013939648669382396,0.019180940210819244,0.014549488388001918,0.018139347930749256,interval_above_zero_unfavorable
dimension_marginal,dim32_minus_dim64,32,,5,44,0.007700044366867859,-0.001395543831331108,0.015761617993481077,-0.005609326526309459,0.015182411243343137,interval_includes_zero,-0.003770694807312526,-0.009713271662439406,0.001422393720106691,-0.007907086025443556,-0.0018599059686275805,interval_includes_zero,0.0009008657074622034,-0.012702809713154172,0.014928202859210607,-0.014567554928367291,0.01398648202754479,interval_includes_zero,-0.07039822821706208,-0.09452554755268955,-0.04360737545313762,-0.09741596025806556,-0.025348681766613465,interval_below_zero_favorable,0.0019858425432498117,0.0008729770798796912,0.003109758729397689,0.0009952027840841732,0.0027862432697929812,descriptive_only_no_preservation_claim,0.0024425570689162383,0.0006256192481436266,0.004289655937874549,0.001251149543383942,0.004016177393960553,descriptive_only_no_preservation_claim,0.00019397462206629826,-0.0017201910113954382,0.002277502952169222,-0.0021195965072808975,0.0027790184185111488,interval_includes_zero_no_retrieval_improvement_claim,0.0036815243529818905,-0.0026488317914314594,0.010043610942073017,-0.004717917633003013,0.007876669328282274,interval_includes_zero_no_retrieval_improvement_claim,-0.008289210125803945,-0.009417500973613269,-0.007226454975478579,-0.009081397012427994,-0.007584682479500775,interval_below_zero_favorable
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,32,0.05,5,44,0.00950620590324384,-0.0023148776515336486,0.022066370624976402,-0.0014297159724104558,0.0171699831985395,interval_includes_zero,-0.0008730400269557751,-0.005612660214130493,0.004372004236012887,-0.003976152502468312,0.006331255082678192,interval_includes_zero,-0.0033391891725487437,-0.012395340408672179,0.005262241581721173,-0.01355566655566659,0.005831247552784543,interval_includes_zero,-0.03325125080410178,-0.05431089580501771,-0.013010049650291178,-0.06478380175512793,-0.002722372820095801,interval_below_zero_favorable,0.000829655743668566,0.00036911532136024624,0.0013218454128115598,0.00038406475126857853,0.0012569085186782372,descriptive_only_no_preservation_claim,0.0006913745018659777,-0.0001906550698279168,0.0015948087039001978,-6.022962300525039e-05,0.0013832169019071003,descriptive_only_no_preservation_claim,-0.0003941985764139339,-0.0022862057207406845,0.0008756253764279253,-0.002540566666426066,0.0011379687563898041,interval_includes_zero_no_retrieval_improvement_claim,-0.002941868231588891,-0.011224830340622141,0.001920125469809153,-0.013311704453957228,0.0012988299944821893,interval_includes_zero_no_retrieval_improvement_claim,-0.004936533726074481,-0.0058154567529757825,-0.004071885724128652,-0.005959541267818877,-0.004048701748251917,interval_below_zero_favorable
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,32,0.2,5,44,0.0046104392103482935,-0.006495714348209599,0.018869664187906563,-0.009345578398209998,0.018537765346861055,interval_includes_zero,0.0037915476431306435,-0.00284577763206156,0.010352059178554278,-0.005483726799516265,0.010091443028824448,interval_includes_zero,-0.007103713621401611,-0.019896122244518085,0.00656663678109768,-0.01957594069912912,0.012135370071559034,interval_includes_zero,-0.03156559224224447,-0.05114099896955008,-0.012706909119760565,-0.04867667471251701,-0.013838988296241965,interval_below_zero_favorable,0.0007299926826281107,3.940979004819009e-05,0.001392811800264853,-0.0002594724738537415,0.0011669603042913214,descriptive_only_no_preservation_claim,0.0005397135701968755,-0.0006405651946228882,0.0016813919911903357,-0.0009971716354429826,0.0012625181570248218,descriptive_only_no_preservation_claim,-0.0009010841951789881,-0.0033284595205843406,0.000667091930214975,-0.0037846780857533594,0.000258587903324682,interval_includes_zero_no_retrieval_improvement_claim,-0.004360361975304695,-0.013191397345977874,0.0031987025407830974,-0.011361693861693858,0.004291053820039347,interval_includes_zero_no_retrieval_improvement_claim,-0.006365373662926935,-0.007560831308364875,-0.005132135657148618,-0.007466400331921052,-0.005199131535159214,interval_below_zero_favorable
dimension_marginal,dim4_minus_dim64,4,,5,44,-0.006994360715150741,-0.015314953216173224,0.002160739476183628,-0.016652771502866398,-0.0020117624637279174,interval_includes_zero,-0.013552384409463625,-0.025488238303441955,-0.003833654455308404,-0.02877668303627528,-0.003580953848576238,interval_below_zero_unfavorable,-0.0030065852799230283,-0.015138994615648053,0.008358003889691372,-0.009404671172890967,0.003968344949021269,interval_includes_zero,-0.23422037484655422,-0.2902083356548217,-0.1818182841144146,-0.31089326463010675,-0.17094526743601307,interval_below_zero_favorable,0.005783963710503709,0.004683909755904771,0.007023886152558043,0.004916897300532476,0.0073150876725256815,descriptive_only_no_preservation_claim,0.007703586962905346,0.0055970681402611345,0.010095571772546445,0.006089284185101623,0.010695581837701374,descriptive_only_no_preservation_claim,-4.633037637490446e-05,-0.0023303008950056685,0.002206245571407068,-0.0033329380139152515,0.0019636019062347415,interval_includes_zero_no_retrieval_improvement_claim,0.004292639014466223,-0.004228979326374313,0.015432137154666117,-0.005765401942615594,0.015620441936231454,interval_includes_zero_no_retrieval_improvement_claim,-0.04242850054394115,-0.047240968993159396,-0.037221453719117024,-0.045905797845787466,-0.03716465554855488,interval_below_zero_favorable
